All_NBA,Player,Pos,Age,Tm,G,GS,MP/G,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Year,MP_season,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0.0,Uwe Blab\blabuw01,5,26,DAL,37,0,5.6,0.6,1.4,0.0,0.0,0.6,1.4,0.462,0.5,0.7,0.3,0.9,1.2,0.3,0.1,0.4,0.4,1.0,1.8,1989,208,10.8,0.54,0.0,0.48100000000000004,5.9,17.3,11.7,8.2,0.7,3.6,18.2,16.0,0.1,0.2,0.3,0.069,-4.2,0.5,-3.7,-0.1
0.0,Rolando Blackman\blackro01,2,29,DAL,78,78,37.8,7.6,16.0,0.4,1.1,7.2,14.9,0.488,4.1,4.7,0.9,2.6,3.5,3.7,0.8,0.3,2.1,1.8,19.7,1989,2946,15.9,0.5429999999999999,0.068,0.29600000000000004,2.6,7.5,5.1,15.8,1.1,0.4,10.5,23.2,4.2,1.4,5.7,0.092,1.1,-1.7,-0.6,1.0
0.0,Muggsy Bogues\boguemu01,1,24,CHH,79,21,22.2,2.3,5.3,0.0,0.2,2.2,5.1,0.42700000000000005,0.8,1.1,0.7,1.4,2.1,7.8,1.4,0.1,1.6,1.8,5.4,1989,1755,15.3,0.46299999999999997,0.031,0.21100000000000002,3.2,7.4,5.2,46.2,3.0,0.2,21.4,13.6,1.6,1.0,2.6,0.07,-1.2,-1.9,-3.1,-0.5
0.0,Manute Bol\bolma01,5,26,GSW,80,4,22.1,1.6,4.3,0.3,1.1,1.3,3.2,0.39799999999999996,0.5,0.8,1.5,4.3,5.8,0.3,0.1,4.3,1.0,2.8,3.9,1989,1769,9.8,0.42100000000000004,0.265,0.192,6.6,19.5,13.1,1.8,0.3,10.8,17.5,9.7,-1.2,2.8,1.7,0.046,-5.7,4.7,-1.0,0.4
0.0,Anthony Bowie\bowiean01,2,25,SAS,18,5,24.3,4.0,8.0,0.1,0.3,3.9,7.7,0.503,0.6,0.8,1.4,1.7,3.1,1.6,1.0,0.2,1.2,2.4,8.6,1989,438,10.6,0.515,0.035,0.10400000000000001,6.0,8.1,7.0,9.3,1.9,0.5,12.7,15.3,0.2,0.3,0.5,0.054000000000000006,-1.9,-0.6,-2.5,-0.1
0.0,Sam Bowie\bowiesa01,5,27,POR,20,0,20.6,3.5,7.7,0.3,0.4,3.2,7.3,0.467,1.4,2.5,1.8,3.5,5.3,1.8,0.4,1.7,1.7,2.2,8.6,1989,412,13.7,0.49,0.046,0.32,9.2,19.1,14.0,11.4,0.8,4.7,15.9,19.4,0.0,0.5,0.5,0.063,-2.7,1.4,-1.2,0.1
0.0,Dudley Bradley\bradldu01,2,31,ATL,38,0,7.0,0.7,2.3,0.2,0.8,0.5,1.4,0.37200000000000005,0.2,0.4,0.2,0.7,0.8,0.6,0.4,0.1,0.4,1.1,1.9,1989,267,6.1,0.387,0.36,0.18600000000000003,2.8,10.4,6.5,11.9,2.9,0.4,13.1,16.3,-0.3,0.3,0.0,0.004,-3.3,-0.1,-3.4,-0.1
0.0,Adrian Branch\brancad01,3,25,POR,67,4,12.1,3.0,6.5,0.1,0.5,2.9,6.0,0.47100000000000003,1.3,1.8,0.9,1.0,2.0,0.9,0.7,0.0,1.0,1.5,7.4,1989,811,15.7,0.509,0.071,0.275,8.2,9.6,8.8,10.8,2.6,0.2,11.6,26.3,0.7,0.8,1.5,0.087,-0.4,-2.2,-2.6,-0.1
0.0,Randy Breuer\breuera01,5,28,MIL,48,4,10.7,1.8,3.7,0.0,0.0,1.8,3.7,0.48,0.6,1.1,1.1,1.8,2.8,0.5,0.2,0.8,0.6,1.2,4.2,1989,513,13.8,0.496,0.0,0.285,11.3,19.2,15.2,6.2,0.9,4.5,12.6,18.6,0.2,0.7,0.9,0.083,-2.9,0.8,-2.0,0.0
0.0,Frank Brickowski\brickfr01,5,29,SAS,64,60,28.5,5.3,10.2,0.0,0.0,5.3,10.2,0.515,3.1,4.4,2.3,4.0,6.3,2.0,1.6,0.5,2.6,3.9,13.7,1989,1822,15.0,0.563,0.003,0.43,8.5,16.3,12.2,10.4,2.6,1.1,17.5,20.1,1.4,2.2,3.6,0.094,-0.5,0.9,0.4,1.1
0.0,Scott Brooks\brooksc01,1,23,PHI,82,6,16.7,1.9,4.5,0.7,1.9,1.2,2.7,0.495,0.7,0.8,0.2,0.9,1.1,3.7,0.8,0.0,0.8,1.4,5.2,1989,1372,14.0,0.5329999999999999,0.41200000000000003,0.18600000000000003,1.5,6.2,3.8,28.9,2.4,0.1,13.9,14.1,2.3,0.6,2.9,0.10300000000000001,1.2,-2.7,-1.4,0.2
0.0,Mike Brown\brownmi01,5,25,UTA,66,16,15.9,1.6,3.8,0.0,0.0,1.6,3.8,0.419,1.4,2.0,1.4,2.5,3.9,0.6,0.4,0.3,1.2,2.0,4.5,1989,1051,8.4,0.491,0.0,0.524,10.5,16.3,13.6,5.5,1.2,1.0,20.1,15.4,-0.4,1.8,1.4,0.064,-3.8,1.2,-2.6,-0.2
0.0,Tony Brown\brownto01,3,28,TOT,43,0,8.5,1.2,2.7,0.1,0.4,1.1,2.4,0.441,0.6,0.7,0.5,0.5,1.0,0.6,0.3,0.1,0.4,1.0,3.0,1989,365,10.3,0.486,0.136,0.263,6.8,6.9,6.8,9.8,2.0,0.7,11.4,16.7,0.2,0.4,0.5,0.071,-1.6,-0.9,-2.5,0.0
0.0,Mark Bryant\bryanma01,4,23,POR,56,32,14.3,2.1,4.4,0.0,0.0,2.1,4.4,0.486,0.7,1.2,1.2,2.0,3.2,0.6,0.4,0.1,0.7,2.6,5.0,1989,803,9.1,0.505,0.0,0.27899999999999997,8.5,15.9,12.1,5.3,1.2,0.5,12.9,15.3,0.4,0.7,1.1,0.063,-2.9,-1.2,-4.1,-0.4
0.0,Greg Butler\butlegr01,5,22,NYK,33,0,4.2,0.6,1.5,0.0,0.1,0.6,1.4,0.41700000000000004,0.5,0.6,0.3,0.6,0.8,0.1,0.0,0.1,0.5,0.8,1.7,1989,140,4.7,0.493,0.063,0.41700000000000004,7.0,15.5,11.1,1.8,0.3,0.8,23.0,20.4,-0.2,0.1,-0.1,-0.034,-7.4,-3.7,-11.1,-0.3
0.0,Michael Cage\cagemi01,4,27,SEA,80,71,31.7,3.9,7.9,0.0,0.1,3.9,7.8,0.498,2.5,3.3,3.5,6.1,9.6,1.6,1.2,0.7,1.6,2.3,10.3,1989,2536,14.7,0.5529999999999999,0.006,0.42100000000000004,11.8,22.3,16.9,6.4,1.7,1.2,14.2,13.7,3.7,2.9,6.7,0.126,0.3,1.3,1.6,2.3
0.0,Tony Campbell\campbto01,3,26,LAL,63,2,12.5,2.5,5.5,0.0,0.3,2.5,5.1,0.461,1.1,1.3,0.8,1.2,2.1,0.7,0.6,0.1,1.0,1.7,6.2,1989,787,12.5,0.508,0.061,0.24100000000000002,8.0,10.2,9.2,8.5,2.3,0.4,14.0,23.3,0.2,0.9,1.1,0.065,-1.9,-1.5,-3.4,-0.3
0.0,Antoine Carr\carran01,4,27,ATL,78,12,19.1,2.9,6.0,0.0,0.0,2.9,6.0,0.48,1.7,1.9,1.4,2.2,3.5,1.2,0.4,0.8,1.1,2.8,7.5,1989,1488,12.7,0.541,0.002,0.32299999999999995,7.6,12.5,10.0,8.6,1.0,2.5,13.2,17.0,1.9,1.4,3.3,0.106,-0.7,0.4,-0.3,0.6
0.0,Joe Barry Carroll\carrojo01,5,30,NJN,64,62,31.2,5.7,12.7,0.0,0.0,5.7,12.7,0.44799999999999995,2.8,3.4,1.8,5.5,7.4,1.6,1.1,1.3,2.2,3.0,14.1,1989,1996,14.2,0.49700000000000005,0.0,0.272,6.4,20.4,13.2,8.0,1.7,2.4,13.6,21.5,0.1,2.2,2.3,0.055999999999999994,-2.6,1.2,-1.4,0.3
0.0,Bill Cartwright\cartwbi01,5,31,CHI,78,76,29.9,4.7,9.8,0.0,0.0,4.7,9.8,0.475,3.0,3.9,1.9,4.7,6.7,1.2,0.3,0.5,2.4,3.0,12.4,1989,2333,11.0,0.535,0.0,0.401,7.8,17.7,12.9,5.4,0.4,1.1,17.4,20.1,0.1,2.0,2.1,0.042,-3.5,-1.3,-4.8,-1.7
0.0,Terry Catledge\catlete01,4,25,WSB,79,77,26.3,4.2,8.6,0.0,0.1,4.2,8.6,0.491,1.9,3.2,2.9,4.3,7.2,0.9,0.6,0.3,1.5,3.2,10.4,1989,2077,12.6,0.518,0.006999999999999999,0.373,11.6,18.8,15.0,5.0,1.1,0.7,13.1,17.6,1.4,1.9,3.3,0.077,-1.3,-0.6,-1.9,0.0
0.0,Ron Cavenall\cavenro01,5,29,NJN,5,0,3.2,0.4,0.6,0.0,0.0,0.4,0.6,0.667,0.4,1.0,0.0,0.4,0.4,0.0,0.0,0.4,0.4,0.4,1.2,1989,16,7.4,0.5770000000000001,0.0,1.6669999999999998,0.0,14.4,6.9,0.0,0.0,7.4,27.8,18.4,0.0,0.0,0.0,-0.055,-9.7,-0.6,-10.4,0.0
2.0,Tom Chambers\chambto01,4,29,PHO,81,81,37.1,9.6,20.3,0.3,1.1,9.2,19.2,0.48,6.3,7.4,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,1989,3002,19.3,0.547,0.052000000000000005,0.364,5.3,18.4,12.1,11.1,1.3,1.0,10.8,28.2,5.1,4.1,9.2,0.146,1.2,0.0,1.2,2.4
0.0,Mike Champion\champmi01,3,24,SEA,2,0,2.0,0.0,1.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1989,4,-43.7,0.0,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,39.8,-0.1,0.0,-0.1,-0.9520000000000001,-31.3,-9.6,-40.8,0.0
0.0,Rex Chapman\chapmre01,2,21,CHH,75,44,29.6,7.0,16.9,0.8,2.5,6.2,14.4,0.43700000000000006,2.1,2.6,1.0,1.5,2.5,2.3,0.9,0.3,1.5,2.2,16.9,1989,2219,12.6,0.467,0.15,0.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,-0.7,0.4,-0.2,-0.005,-0.7,-2.5,-3.2,-0.7
0.0,Maurice Cheeks*\cheekma01,1,32,PHI,71,70,32.4,4.7,9.8,0.0,0.2,4.7,9.6,0.483,2.1,2.7,0.5,2.0,2.6,7.8,1.5,0.2,1.6,1.6,11.6,1989,2298,16.5,0.527,0.019,0.28,1.9,7.1,4.5,32.6,2.2,0.4,12.9,16.2,4.3,1.0,5.3,0.11,1.4,-1.5,-0.1,1.1
0.0,Derrick Chievous\chievde01,3,21,HOU,81,1,19.0,3.4,7.8,0.1,0.3,3.4,7.5,0.441,2.4,3.0,1.4,1.8,3.2,1.0,0.6,0.1,1.7,2.0,9.3,1989,1539,11.6,0.506,0.038,0.385,8.1,9.9,9.0,7.4,1.5,0.4,15.5,22.9,0.0,1.6,1.6,0.05,-2.5,-1.4,-3.9,-0.7
0.0,Ben Coleman\colembe01,4,27,PHI,58,11,12.1,2.0,4.2,0.0,0.0,2.0,4.2,0.485,1.1,1.3,0.8,2.2,3.1,0.3,0.2,0.3,0.8,2.1,5.1,1989,703,11.2,0.537,0.0,0.32,7.8,20.6,14.1,3.4,0.7,1.5,14.9,19.1,0.3,0.5,0.8,0.051,-3.4,-2.4,-5.8,-0.7
